Province_State,lat,lon
Alaska,28.12768,-117.981766
Alabama,32.688053,-86.810585
Arkansas,34.755883,-92.640559
Arizona,34.255149,-111.62621
California,36.531544,-119.586168
Colorado,38.996664,-105.547822
Connecticut,41.580163,-72.756629
District of Columbia,38.912097,-77.014683
Delaware,38.978849,-75.46014
Florida,27.97762,-81.769611
Georgia,32.53951,-83.380775
Hawaii,24.200987,-104.313994
Iowa,42.039943,-93.500069
Idaho,43.764877,-114.964267
Illinois,40.265028,-89.191575
Indiana,39.904493,-86.250281
Kansas,38.500327,-98.380429
Kentucky,37.696825,-84.924095
Louisiana,30.542601,-92.51441
Massachusetts,42.358752,-71.531484
Maryland,39.038828,-76.346717
Maine,45.243327,-69.171071
Michigan,43.924812,-84.633107
Minnesota,46.63636,-94.579641
Missouri,38.353141,-92.747022
Mississippi,32.921921,-89.687118
Montana,47.001265,-109.645406
North Carolina,35.387362,-78.455056
North Dakota,47.471495,-100.469096
Nebraska,41.499671,-99.810075
New Hampshire,43.644386,-71.586283
New Jersey,39.66502,-74.738208
New Mexico,34.498624,-106.108278
Nevada,39.440688,-116.598569
New York,42.165726,-74.948051
Ohio,40.262259,-82.883453
Oklahoma,35.455622,-97.508021
Oregon,43.854178,-120.526709
Pennsylvania,40.860198,-77.838617
Rhode Island,41.587536,-71.514739
South Carolina,33.702857,-80.627523
Tennessee,35.820245,-86.343764
Texas,31.030974,-98.326329
Utah,39.098999,-111.878816
Virginia,37.73086,-78.376655
Vermont,44.211857,-72.681238
Washington,47.372269,-120.59234
Wisconsin,44.356004,-89.466198
Wyoming,43.001645,-107.55153